word,phonetic,partOfSpeech,definition,example_en,example_zh,image_file,image_caption,tags,level
abandon,/ə'bændən/,vt.,放弃；抛弃；遗弃,They had to abandon the car in the heavy snow.,他们不得不把汽车丢弃在大雪里。,w001-abandon.svg,Abandon the Car,CET4,basic
ability,/ə'bɪləti/,n.,能力；才能,She has the ability to learn languages quickly.,她有快速学习语言的能力。,w002-ability.svg,Learning Ability,CET4,basic
accept,/ək'sept/,vt.,接受；承认；同意,Please accept my sincere apology.,请接受我诚挚的道歉。,w003-accept.svg,Accept an Apology,CET4,basic
accident,/'æksɪdənt/,n.,事故；意外,He was slightly injured in a traffic accident.,他在一场交通事故中受了轻伤。,w004-accident.svg,Traffic Accident,CET4,basic
accomplish,/ə'kɒmplɪʃ/,vt.,完成；实现,We accomplished our goal ahead of schedule.,我们提前完成了目标。,w005-accomplish.svg,Accomplish a Goal,CET4,intermediate
environment,/ɪn'vaɪrənmənt/,n.,环境；周围状况,We must protect the natural environment.,我们必须保护自然环境。,w006-environment.svg,Natural Environment,CET4,intermediate
challenge,/'tʃælɪndʒ/,n.,挑战；质疑,Learning a new language is a fun challenge.,学习一门新语言是有趣的挑战。,w007-challenge.png,Daily Challenge,CET4,intermediate
confident,/'kɒnfɪdənt/,adj.,自信的；确信的,She feels confident about the job interview.,她对这次求职面试很有信心。,w008-confident.svg,Confident Speaker,CET4,intermediate
insurance,/ɪn'ʃʊərəns/,n.,保险；保障；保险费,Health insurance covers most medical expenses.,健康保险涵盖大部分医疗费用。,w009-insurance.svg,Health Insurance Coverage,CET4,intermediate
responsible,/rɪ'spɒnsəbl/,adj.,有责任的；负责的；可靠的,Mike is responsible for designing the entire project.,迈克负责设计全部工程。,w010-responsible.svg,Project Design Lead,CET4,intermediate
